node id, phase id, in link, out link
62515137,1,6251513710,6251513711
62515137,6,6251513760,6251513761
62515137,7,6251513770,6251513771
62515137,4,6251513740,6251513741
62515137,5,6251513750,6251513751
62515137,2,6251513720,6251513721
62515137,3,6251513730,6251513731
62515137,8,6251513780,6251513781
62565682,1,6256568210,6256568211
62565682,6,6256568260,6256568261
62565682,7,6256568270,6256568271
62565682,4,6256568240,6256568241
62565682,5,6256568250,6256568251
62565682,2,6256568220,6256568221
62565682,3,6256568230,6256568231
62565682,8,6256568280,6256568281
62578814,1,6257881410,6257881411
62578814,6,6257881460,6257881461
62578814,7,6257881470,6257881471
62578814,4,6257881440,6257881441
62578814,5,6257881450,6257881451
62578814,2,6257881420,6257881421
62578814,3,6257881430,6257881431
62578814,8,6257881480,6257881481
62500824,2,6250082420,6250082421
62500824,1,6250082410,6250082411
62500824,3,6250082430,6250082431
62500824,4,6250082440,6250082441
62500824,5,6250082450,6250082451
62500824,6,6250082460,6250082461
62500824,7,6250082470,6250082471
62500824,8,6250082480,6250082481
62532012,2,6253201220,6253201221
62532012,6,6253201260,6253201261
62532012,3,6253201230,6253201231
62606176,1,6260617610,6260617611
62606176,2,6260617620,6260617621
62606176,3,6260617630,6260617631
62606176,4,6260617640,6260617641
62606176,5,6260617650,6260617651
62606176,6,6260617660,6260617661
62606176,7,6260617670,6260617671
62606176,8,6260617680,6260617681
62517097,1,6251709710,6251709711
62517097,2,6251709720,6251709721
62517097,3,6251709730,6251709731
62517097,4,6251709740,6251709741
62517097,5,6251709750,6251709751
62517097,6,6251709760,6251709761
62517097,7,6251709770,6251709771
62517097,8,6251709780,6251709781
767530322,1,76753032210,76753032211
767530322,2,76753032220,76753032221
767530322,3,76753032230,76753032231
767530322,4,76753032240,76753032241
767530322,5,76753032250,76753032251
767530322,6,76753032260,76753032261
767530322,7,76753032270,76753032271
767530322,8,76753032280,76753032281
62500567,1,6250056710,6250056711
62500567,2,6250056720,6250056721
62500567,3,6250056730,6250056731
62500567,6,6250056760,6250056761
62551869,1,6255186910,6255186911
62551869,2,6255186920,6255186921
62551869,3,6255186930,6255186931
62551869,4,6255186940,6255186941
62551869,5,6255186950,6255186951
62551869,6,6255186960,6255186961
62551869,7,6255186970,6255186971
62551869,8,6255186980,6255186981
62477148,1,6247714810,6247714811
62477148,2,6247714820,6247714821
62477148,3,6247714830,6247714831
62477148,4,6247714840,6247714841
62477148,5,6247714850,6247714851
62477148,6,6247714860,6247714861
62477148,7,6247714870,6247714871
62477148,8,6247714880,6247714881
